date,customerId,firstName,lastName,phone,email,gender,address,is_active
2022-09-11,CUS50595231748,Steven,Meyer,(617) 603-1111,semes0@statcounter.com,Male,1818 Owaki Junction,FALSE
2022-09-11,CUS41095949824,Vernon,Bowman,(605) 273-7631,kpiller1@jimdo.com,Male,1917 Wakpoz Drive,TRUE
2022-09-11,CUS77289220724,Louisa,Curtis,(875) 845-1506,twhitchurch2@npr.org,Female,728 Elmo Circle,FALSE
2022-09-11,CUS55697703960,Mary,Graham,(654) 575-7551,bskilton3@spotify.com,Male,1521 Kihoz Path,TRUE
2022-09-11,CUS91382780948,Katherine,Sherman,(273) 464-3807,jstovin4@who.int,Female,1661 Hihal Terrace,FALSE
2022-09-11,CUS36947218124,Nathan,Lyons,(265) 727-5549,ichattoe5@nsw.gov.au,Male,459 Ogomu Terrace,TRUE
2022-09-11,CUS15964882412,Mayme,Campbell,(709) 469-4988,zpray6@addthis.com,Female,1988 Zabre Point,FALSE
2022-09-11,CUS26768799060,Loretta,Vargas,(523) 838-9620,cbake7@quantcast.com,Female,952 Viif Junction,FALSE
2022-09-11,CUS41482828460,Mildred,Lynch,(418) 672-6682,dboddice8@issuu.com,Female,618 Sodza Extension,FALSE
2022-09-11,CUS86644713624,Evan,Rice,(504) 354-8176,mfilipchikov9@geocities.jp,Male,820 Vimud Key,TRUE
2022-09-11,CUS18553885024,Maud,Torres,(818) 281-1471,fcarnewa@nps.gov,Female,1534 Ciop Lane,TRUE
2022-09-11,CUS99303985336,Sophie,Fowler,(754) 709-5420,kwarhurstb@statcounter.com,Female,1896 Terjuh Extension,TRUE
2022-09-11,CUS42551969148,Maude,Marshall,(534) 363-6589,eblackstockc@clickbank.net,Female,785 Deru Court,TRUE
2022-09-11,CUS55761056324,Willie,Tucker,(943) 990-1975,ltabbernord@etsy.com,Male,1145 Rohide Mill,FALSE
2022-09-11,CUS11341685648,Luella,Rodriquez,(554) 323-3008,pgoodene@nba.com,Female,1322 Loge Road,TRUE
2022-09-11,CUS55429722860,Katherine,Harvey,(851) 581-5160,ajessupf@alexa.com,Female,228 Begzi Court,FALSE
2022-09-11,CUS43029339648,Jennie,Miles,(407) 529-4193,pjedrykag@naver.com,Male,604 Tifke Terrace,TRUE
2022-09-11,CUS96966287260,Lou,Davidson,(885) 474-8847,dpimblotth@engadget.com,Male,615 Vebe Square,TRUE
2022-09-11,CUS54383397336,Corey,Wheeler,(210) 438-3880,ntreadwelli@tripadvisor.com,Male,506 Vumo Loop,TRUE
2022-09-11,CUS61363880324,Jerome,Bryant,(745) 798-9704,mgorchj@cnet.com,Female,745 Hedis Pass,TRUE
2022-09-11,CUS24086580724,Brandon,Henry,(984) 219-7362,mcleyburnk@prlog.org,Male,1763 Nogo Turnpike,FALSE
2022-09-11,CU567685605548,Jorge,Simmons,(428) 869-9153,muj@tepure.br,Female,1121 Ohafu Court,TRUE
2022-09-11,CU563709369560,Lillian,Colon,(867) 936-8725,ri@wigbutid.ml,Male,1052 Mapcir Circle,TRUE
2022-09-11,CU574142032160,Edna,Powell,(814) 939-8719,omgudawu@laveal.bq,Female,993 Ohaipo Junction,TRUE
2022-09-11,CU557011348360,Glenn,Bryan,(975) 750-4416,wi@vis.zm,Female,286 Juce Terrace,TRUE
2022-09-11,CU522197258060,Jackson,Washington,(828) 475-6869,rozeun@oh.sv,Male,987 Pesgeg Terrace,TRUE
2022-09-11,CU570416418124,Beatrice,Reese,(332) 337-3720,ul@sivicah.pl,Female,1149 Medel Grove,TRUE
2022-09-11,CU523407574648,Rosa,Griffin,(833) 741-3037,ekeefi@enukor.mk,Female,241 Cohi Glen,TRUE
2022-09-11,CU587363462936,Allen,Chandler,(950) 938-5962,cuf@anovob.bg,Male,1872 Cudgi Grove,TRUE
2022-09-11,CU599893757124,Etta,Hart,(710) 572-6087,uhufotgi@osoije.sk,Female,550 Dapan Avenue,TRUE
2022-09-11,CU531098971024,Eleanor,Lawson,(900) 758-3815,ife@maej.tw,Male,588 Wafwo Circle,TRUE
2022-09-11,CU563957746724,Justin,Stephens,(258) 957-7884,egodiz@if.pa,Male,1921 Cono Place,TRUE
2022-09-11,CU511875118560,Bess,Blake,(271) 832-8116,tapbi@juf.si,Female,1060 Lubvor Court,TRUE
2022-09-11,CU546967792148,Carl,Hayes,(749) 979-2143,ug@nateg.sc,Female,1665 Rivif Extension,TRUE
2022-09-11,CU535655481060,Chester,Reid,(769) 394-1338,him@dolebo.qa,Male,1360 Kejgo Road,TRUE
2022-09-11,CU523432338136,Hettie,Gonzalez,(852) 486-6624,cohfickiw@judjidre.bs,Male,1334 Mubcu Heights,TRUE
2022-09-11,CU562901900060,Arthur,Black,(526) 484-8484,tiakwan@sozampo.sd,Male,946 Suep Pass,TRUE
2022-09-11,CU554658127760,Gilbert,Carroll,(321) 460-2719,ofu@dasukol.nc,Male,1946 Sawu Road,TRUE
2022-09-11,CU515635509636,Cordelia,Hanson,(803) 286-7241,pew@cuhov.sa,Female,1903 Depnon Glen,TRUE
2022-09-11,CU534785122536,Betty,Craig,(203) 429-1029,madkil@arbu.mg,Female,916 Rane Junction,TRUE
2022-09-11,CU548179391836,Loretta,Singleton,(924) 343-5131,nem@bo.gt,Female,317 Tehluh Square,TRUE
2022-09-11,CU514137688148,Helena,Pittman,(906) 283-7405,bezil@benolda.ag,Female,1605 Cinap Junction,TRUE
2022-09-11,CU556404826548,Alta,Gill,(283) 683-6897,suwto@sa.in,Male,587 Ogruf Center,TRUE
2022-09-11,CU545759457124,Alexander,Mack,(448) 984-7267,nophauho@nacmu.bh,Male,1839 Juuru Heights,TRUE
2022-09-11,CU592554236560,Catherine,Dean,(843) 485-4705,fu@mokakpat.pn,Female,1378 Woloza View,TRUE
2022-09-11,CU599211695160,Jorge,Cox,(388) 722-1154,godrunli@madizbo.et,Female,993 Udihu Grove,TRUE
2022-09-11,CU590939975348,Flora,Payne,(834) 674-3432,idwulkug@ri.nz,Female,316 Urucut Ridge,TRUE
2022-09-11,CU571814899160,Fred,Davidson,(353) 492-9005,hual@bobpot.sz,Female,581 Pore Boulevard,TRUE
2022-09-11,CU555899037560,Elijah,Chandler,(233) 853-6876,mabwupba@mocub.mc,Female,1242 Olbuw Circle,TRUE
2022-09-11,CU588704717436,Lily,Lawson,(458) 968-8414,se@ejnenhes.in,Female,403 Pucek Square,TRUE
2022-09-11,CU572777291524,Benjamin,Briggs,(943) 472-5005,nekujaf@kajogij.cn,Male,1332 Napsuk Path,TRUE
2022-09-11,CU536167874860,Lelia,Weaver,(225) 429-3655,di@ci.lv,Female,1789 Diuki Heights,TRUE
2022-09-11,CU533424633848,Harry,Shaw,(479) 297-8558,bifuvcic@us.net,Male,1763 Onaha View,TRUE
2022-09-11,CU574269211060,Connor,Greene,(209) 354-3244,ohewu@diwam.lu,Male,1981 Socka Street,TRUE
2022-09-11,CU583664725124,Katie,Atkins,(767) 403-9455,umcegto@zocme.ph,Female,1451 Irtev Boulevard,TRUE
2022-09-11,CU533762580724,Bruce,Logan,(378) 843-9466,la@usonu.ge,Female,630 Boet Glen,TRUE
2022-09-11,CU587344175712,Carolyn,Pratt,(732) 633-1805,wevipoj@gok.lb,Female,1728 Kohhoj Mill,TRUE
2022-09-11,CU520633867024,Minerva,Medina,(448) 400-2319,mewa@re.et,Male,1174 Damru Terrace,TRUE
