date,customerId,firstName,lastName,phone,email,gender,address,is_active
2022-09-12,C0555697703960,Allen,Boyd,(969) 888-6766,tohwet@ivomofo.ro,Male,911 Vofe Avenue,TRUE
2022-09-12,C0591382780948,Adam,Chavez,(417) 362-7332,tifnekad@viobda.bt,Male,935 Ojoh View,TRUE
2022-09-12,C0536947218124,Isabella,Brown,(986) 656-8280,mipur@co.gs,Male,213 Licuv Parkway,TRUE
2022-09-12,C0515964882412,Hallie,Moran,(557) 928-1709,afki@gep.ua,Female,1508 Voru Drive,TRUE
2022-09-12,C0526768799060,Edgar,Bishop,(623) 635-1034,ji@kiwgovse.tm,Female,419 Paiz Place,TRUE
2022-09-12,C0541482828460,Floyd,Armstrong,(917) 884-4609,gi@noco.sv,Female,461 Gufzab Avenue,TRUE
2022-09-12,C0586644713624,Paul,Sutton,(648) 596-2142,refof@tusunuc.ph,Female,787 Fowow Glen,TRUE
2022-09-12,C0518553885024,Brett,Castro,(623) 484-2487,gitzibac@bagduner.nz,Female,1167 Cewkib Point,TRUE
2022-09-12,C0599303985336,Daniel,Pittman,(231) 488-6018,zec@diz.tw,Female,1041 Tegav Lane,TRUE
2022-09-12,C0542551969148,Ola,Rice,(856) 894-3327,hawcagsuw@bur.se,Male,1923 Elta Drive,TRUE
2022-09-12,C0555761056324,Jerry,Lopez,(956) 952-4329,son@didtom.mx,Female,1952 Fibuc Loop,TRUE
2022-09-12,C0511341685648,Charles,Underwood,(975) 809-3043,epvej@papbeg.bs,Female,813 Nofam Plaza,TRUE
2022-09-12,C0555429722860,Franklin,Henderson,(913) 439-7216,ivoculga@jenzoc.bn,Female,942 Izza Loop,TRUE
2022-09-12,C0543029339648,Bessie,Phillips,(871) 287-8919,ephob@mohij.gr,Female,1720 Tirak Lane,TRUE
2022-09-12,C0596966287260,Viola,Gregory,(242) 228-6195,wehakuna@gafeb.gl,Female,893 Ejbag Street,TRUE
2022-09-12,C0554383397336,Birdie,Jenkins,(781) 527-5686,ma@uwuheta.gn,Female,1613 Pifgig Manor,TRUE
2022-09-12,C0561363880324,Dominic,Hogan,(985) 947-2131,ku@ca.id,Female,30 Rudce Parkway,TRUE
2022-09-12,C0524086580724,Mollie,Jordan,(567) 781-8679,kawop@wispap.uk,Female,512 Soeg Boulevard,TRUE
2022-09-12,C0597543566636,Georgia,Bass,(451) 515-7676,pajbevuvo@fek.jo,Male,294 Izve Extension,TRUE
2022-09-12,C0578841250924,Alexander,Curtis,(410) 381-4209,pa@ata.bm,Female,1050 Gidliz Court,TRUE
2022-09-12,C0535984920648,Landon,Wilkerson,(688) 274-2511,zuv@jusac.mc,Male,910 Bofih Center,TRUE
2022-09-12,C0514848261836,Kathryn,Park,(918) 741-3347,jazilof@kovbek.ck,Female,644 Zesoj Drive,TRUE
2022-09-12,C0542283414136,Scott,Cross,(702) 267-7643,batgi@jauhouze.kr,Male,928 Ezetin Center,TRUE
2022-09-12,C0547646753012,Beatrice,Alvarez,(829) 261-6879,cid@wosfacmen.tp,Female,941 Tuhuj Center,TRUE
2022-09-12,C0512145041636,Agnes,Boone,(585) 701-2027,ebvorebu@ohora.bd,Male,1475 Omoda Key,TRUE
2022-09-12,C0570214860460,Allie,Anderson,(216) 807-5345,adiossat@niijses.nu,Male,1562 Tonlo Mill,TRUE
2022-09-12,C0585201800724,Vincent,Torres,(470) 353-2688,akapa@sudno.qa,Male,988 Pizu Parkway,TRUE
2022-09-12,C0532053231236,Craig,Harmon,(455) 623-8674,fa@hen.lu,Male,964 Cacnil Turnpike,TRUE
2022-09-12,C0580921864824,Edward,Scott,(539) 985-9634,juk@ukoni.in,Male,1791 Didfi Grove,TRUE
2022-09-12,C0575053082948,Joshua,Stephens,(513) 305-2796,od@rida.hr,Male,26 Gimiv Turnpike,TRUE
2022-09-12,C0553043186360,Nancy,Morrison,(934) 773-8835,wowu@rirsusol.gu,Female,1782 Apaolo Key,TRUE
